Title,Username,Category,Comments
"АКВАРЕНА (гуманітарний центр, Харків)",aquarena,Frontline,
DIGITAL KHARKIV,digital_kharkiv,Frontline,
Непорядочный Харьков,neporyadochniykharkov,Frontline,
ВО «Харків» Канал👋,volonteri_kharkiv,Frontline,
ГО «Україна СОС» | Харків-SOS,kharkivsos,Frontline,
Харьков,kharkov,Frontline,
IT Student by Kharkiv IT Cluster,openit2,Frontline,
Повестки Харьков,gde_povestki_kharkov,Frontline,
Допомога Харків. БФ «Єдність та Сила»,slavaukrainikh,Frontline,
Волонтери AVA Kharkiv,ava_volunteer,Frontline,
Харьков Оперативный🇺🇦,kharkovoperativniy,Frontline,
ХАРКІВ НАДИХАЄ...,prysvyata_ridnomu_mistu,Frontline,
Харків для Людей,kharkiv_for_people,Frontline,
Молодіжна рада при Харківському міському голові | Kharkiv Youth City Council,kh_mgs,Frontline,
War till Victory Kharkiv,wartovictorykharkiv,Frontline,
Карітас Харків,caritaskharkiv,Frontline,
Будівельний Харків 🇺🇦 Строительный Харьков,strojkh,Frontline,
Парк Горького. Харків,park_ua,Frontline,
Kharkiv Media Hub,kharkivmediahub,Frontline,
Наш Харків,nash_kharkiv,Frontline,
«НЕСКОРЕНИЙ ХАРКІВ»,nesko_kharkov,Frontline,
Харьковский МотоЧат,kharkivmoto,Frontline,
🔥Новобренд🔥 Харьков,bkh115,Frontline,
Мова. Харків 🇺🇦,mova_kharkiv,Frontline,
Повестки Харьков / Повістки Харків,povistky_kharkiv,Frontline,
Yellow HELP Харків,yellow_help,Frontline,
Харьковский фарш 🥩🧠,xarkov_farsh,Frontline,
Вгору. Херсон. Новини,vgorunews,De-occupied,
Суспільне Херсон,suspilnekherson,De-occupied,
Херсонский типчак.,VKhersone,De-occupied,
Херсон online,kherson_ukr_online,De-occupied,
Мохеровый Херсон 🇷🇺,kherson_mohair,De-occupied,
Типичный Херсон ,tipherson,De-occupied,
ХЕРСОН: Война Без Фейков,kherson_non_fake,De-occupied,
ХЕРСОН |ДНР| ЛНР |ЗАПОРОЖЬЕ,kherson_donbas,De-occupied,
Новости Херсон | Новини Херсона,khersonnovosty,De-occupied,
Константин Рыженко - Журналист [Херсон],jurnko,De-occupied,
Херсонский Вестник,HersonVestnik,De-occupied,
Херсон и Запорожье 24 | Новости,zaporozhye24news,De-occupied,
Хуевый Херсон 🇺🇦,hueviyherson,De-occupied,
Хуевый Херсон,hueviy_kherson,De-occupied,
Херсон днём и ночью,dn_kherson,De-occupied,
Херсон Освобожденный.,kherson_svoboda,De-occupied,
Прямой эфир Херсон,efir_herson,De-occupied,
Херсон Тут,kherson_tut,De-occupied,
ХЕРСОН | НОВОСТИ 🇺🇦 МЕЛИТОПОЛЬ,zaporozhe_kropivnitskyi,De-occupied,
Уютный Херсон,kherson_uyut,De-occupied,
Хуевый Херсон | Олешки/Каховка🇺🇦,oleshkytop,De-occupied,
МОСТ: ХЕРСОН,mostks,De-occupied,
Типичный Херсон,kherson_typical,De-occupied,
Інформатор 🍉 Херсон,informator_kherson,De-occupied,
На самом деле в Херсоне,NSDVKhersone,De-occupied,
Херсон.ру 🅉,herson_rus,De-occupied,
MDK Херсон,mdk_kherson,De-occupied,
Мій Херсон ✙ 🍉,mij_kherson,De-occupied,
Радио «Таврия» Херсон,radio_tavriya,De-occupied,
Херсон live,kherson_live,De-occupied,
Главное в Херсоне,hercon_ru,De-occupied,
Pro Херсон,prokherson_ru,De-occupied,
Правильный Херсон,truekherson,De-occupied,
Херсон эвакуация(Бесплатно),evakuaziiabezplatno,De-occupied,
Новости Херсонщины,kherson_news_info,De-occupied,
Свободный Херсон,countryfreekherson,De-occupied,
Кавун Херсон 🍉,kavun_ks,De-occupied,
Здоровый Херсон,zdrxerson,De-occupied,
Херсон 24,kherson_24_ua,De-occupied,
Херсон Life Новости,newskhersonlife,De-occupied,
Херсон поездки,perevozkikherson,De-occupied,
Роман Головня Херсон,roman_holovnya,De-occupied,
База Зниклих Херсон,baza_kherson,De-occupied,
Вільний Херсон,fkherson,De-occupied,
Херсон Тайм: Новини🇺🇦 Україна Нова Каховка Скадовськ Олешки,khersontime,De-occupied,
Чат Херсон,city_ks,De-occupied,
Хувый Херсон | Резерв,hersonhueviyy,De-occupied,
Херсон незламний 🇺🇦,kherson_unbroken,De-occupied,
Помощь Херсон 🙏 Допомога Херсон | Волонтеры,helpmekherson,De-occupied,
Херсон онлайн,hersono,De-occupied,
Актуальный Херсон,ak_herson,De-occupied,
Оповіщення Корюківка,Koryukivka_MR,De-occupied,
Корюківські партизани,partizanyofkrk,De-occupied,
ПІДСЛУХАНО КОРЮКІВКА,koryukivka,De-occupied,
Наша Корюківка,krkvka,De-occupied,
"Корюкiвкa.Сповiщення, реагування та важливi новини.",Koryukovka,De-occupied,
ПІДСЛУХАНО ЧАТ,koryukivka_chat,De-occupied,
Сусіди.city,susidycity,De-occupied,
Купянск Наш,kupiansknash,De-occupied,
Купянск Za Победу!🇷🇺,Kupyansk_ZOV,De-occupied,
Двуречная | Купянск 🔔,dvurinfo,De-occupied,
Новости Изюм-Купянск-Харьков,newsnewsizyumkupyansk,De-occupied,
Война Купянск | Новости Лиман,rossiaxd,De-occupied,
"Захист Куп’янщини (Куп’янськ (Купянск, Купянськ), Дворічна, Великий Бурлук, Шевченкове)",Kupiansk_Defense,De-occupied,
"ЛИСИЧАНСК ИНФО #3🔥
lisichansk3",lisichansk3,Occupied,
"АКВАТУР Днепр-Бердянск-Лисичанск
aquadp",aquadp,Occupied,
"ЛИСИЧАНСЬК NEWS 🇺🇦
lis_news",LIS_News,Occupied,
"Лисичанська міська ВА
vca_lis",VCA_Lis,Occupied,
"Лисичанск. Северодонецк. Рубежное. Треугольник
lsrt22",lsrt22,Occupied,
"«Лисичанск - колыбель Донбасса»
lisichanskinfo",Lisichanskinfo,Occupied,
"Северодонецк Лисичанск Рубежное (Луганщина)
lyganskpomoh",lyganskpomoh,Occupied,
"ТРЕУГОЛЬНИК ⚠️СЕВЕРОДОНЕЦК. ЛИСИЧАНСК. РУБЕЖНОЕ
luganshina_inside",luganshina_inside,Occupied,
"🅉 Мариуполь ,Се🅅еродонецк, Лисичанск, Рубежное
maripolz",maripolZ,Occupied,
"Новости ⚠️ Северодонецк-Лисичанск-Рубежное + Кременная
novsevlisrub",novsevlisrub,Occupied,
"Вести Треугольника | Лисичанск - Приволье - Новодружеск - Рубежное - Северодонецк
newstriangle",newstriangle,Occupied,
"Новости региона: Лисичанск, Северодонецк, Рубежное, Приволье, Бахмут...
regionvostok22",regionvostok22,Occupied,
"Администрация Лисичанска
lisichansk_adm",lisichansk_adm,Occupied,
"Предатели Украины из Лисичанска и Северодонецка
predatelilisicanska",predateliLisicanska,Occupied,
Родной Лисичанск,lisichansk_time,Occupied,
Дороги в Лисичанск🚘,Lis_go_home,Occupied,
"Глава Мариуполя Константин Иващенко
glavamariupol",glavamariupol,Occupied,
"Новый Мариуполь
novyymariupol",novyymariupol,Occupied,
"⁉️ БЮРО. МАРИУПОЛЬ.
mariupol_buro",mariupol_buro,Occupied,
"Журналіст Артем Попов [Маріуполь 🇺🇦]
popovua",popovua,Occupied,
"МАРИУПОЛЬ | НОВОСТИ | mariupoltopnews
mariupoltopnews",t.me/mariupoltopnews,Occupied,
"Мариуполь | Super Marik 🇺🇦
mariupol_super_marik",t.me/mariupol_super_marik,Occupied,
"Мой Мариуполь
mymariupol_news",mymariupol_news,Occupied,
"МАРИУПОЛЬ ПО ФАКТУ 👀
mrplonline",mrplonline,Occupied,
"Гражданин Мариуполя
mrpl_ctzn",mrpl_ctzn,Occupied,
"МАРИУПОЛЬ | 0629 BLACK
mariupol_0629_black",mariupol_0629_black,Occupied,
"Маріупольська міська рада
mariupolrada",,Occupied,
"Мариуполь 0629
lovecity0629",lovecity0629,Occupied,
"МАРИУПОЛЬ СПИСКИ. Мы Живы!
listsofevacuees",listsofevacuees,Occupied,
"Карітас Маріуполь
caritas_mariupol",caritas_mariupol,Occupied,
"Поиск близких, Мариуполь
searchforloved",searchforloved,Occupied,
ПартиZанка Мариупольская,leryk,Occupied,
"Объявления. Мариуполь
ads4mar",ads4mar,Occupied,
"АДМИНИСТРАЦИЯ ОРДЖОНИКИДЗЕВСКОГО РАЙОНА ГОРОДА МАРИУПОЛЯ
ordjonikidzadmin",ordjonikidzadmin,Occupied,
"Зрадники Маріуполь old
ukraine_mariupol2022",ukraine_mariupol2022,Occupied,
"Мариуполь - рынок пара
odnorazki_mariupol_opt",odnorazki_mariupol_OPT,Occupied,
"Типовий Маріуполь
typical_mariupol",typical_mariupol,Occupied,
"МАРИУПОЛЬ НАШ 🇷🇺
mariupol_nash_ru",mariupol_nash_ru,Occupied,
"HelpList Мариуполь
helplistmariupol",helplistmariupol,Occupied,
"#Мариуполь #Надежда
maripol_hope",maripol_hope,Occupied,
"МАРИУПОЛЬ|ОДЕЖДА|ЭДЕЛЬВЕЙС
mariupol_odejda",mariupol_odejda,Occupied,
"SMOTRIⓂ️ Мариуполь
smotrimariupol",smotrimariupol,Occupied,
"Мариупольский государственный университет
marmgu",marmgu,Occupied,
"Мариуполь | Октябрьский район
news_oktyabrskiy",news_oktyabrskiy,Occupied,
"Мариуполь Сегодня
marik_today",marik_today,Occupied,
"Хуевй Мариуполь | Маріуполь
mariupol",mariupol,Occupied,
"Мариуполь Online
mariupol_online24",mariupol_online24,Occupied,
"НОВЫЙ МАРИУПОЛЬ!
nmrpl",nmrpl,Occupied,
"Инфраструктура Мариуполя
infrmariupol",infrmariupol,Occupied,
"Донецк Мариуполь Макеевка
gorlovka_kramatorsk",gorlovka_kramatorsk,Occupied,
"Мариуполь ХМ
mariupolxm",mariupolxm,Occupied,
"МАРИУПОЛЬ 24
mariupol24tv",mariupol24tv,Occupied,
"Зрадники Маріуполь 🍉
zradnykymrpl",zradnykymrpl,Occupied,
"Мариуполь сейчас 🇺🇦
mariupolnow",mariupolnow,Occupied,
"От Мариуполя до Карпат
osvedomitell_alex",osvedomitell_alex,Occupied,
"Мариуполь ⚓️ Навсегда
marik_life",marik_life,Occupied,
"Мариуполь
marik_news",marik_news,Occupied,
"CityBus Мариуполь 🇷🇺
citybus_dpr",citybus_dpr,Occupied,
"Мариуполь сейчас 🇷🇺
mariupolz",mariupolz,Occupied,
"Домовые Чаты Мариуполь
dom4mar",dom4mar,Occupied,
"Мариуполь Z
mariupol_z",mariupol_z,Occupied,
"Маріуполь. Спротив 🤫
mrplsprotyv",mrplsprotyv,Occupied,
"Новости Мариуполя
mrplcity",mrplcity,Occupied,
"ГЦ ""Эпицентр"" Мариуполь
epicenter_mariupol",epicenter_mariupol,Occupied,
"Мариуполь ⚡️ 24
donbass_mrpl",donbass_mrpl,Occupied,
"ПГТУ Мариуполь
pstu_mariupol",pstu_mariupol,Occupied,
"Типичный Мариуполь 🇺🇦
tp_mrpl",tp_mrpl,Occupied,
"🚘 МАШИНА. МАРИУПОЛЬ
mariupol_mashina",mariupol_mashina,Occupied,
"Viman - Техник Мариуполь
avto_zapchasti_mrpl",avto_zapchasti_mrpl,Occupied,
"Маріупольський державний університет
mdu_mariupol",mdu_mariupol,Occupied,
"Настоящий Мариуполь
real_mrpl",real_mrpl,Occupied,
"📀 МЕДИА. МАРИУПОЛЬ
mariupol_media",mariupol_media,Occupied,
"МАРІУПОЛЬ INFO |🍉🇺🇦Україна
mariupol_inf",mariupol_inf,Occupied,
"Фортеця Маріуполь
fortetsya_mariupol",fortetsya_mariupol,Occupied,
Мелитополь онлайн | новости. факты. инсайды,melitopolonline,Occupied,
Мелитополь. Отзывы о заведениях.,melitopol,Occupied,
Мелитополь Shorts,mltshorts,Occupied,
"Мелитополь, через Крым в Европу.",meliwarnews,Occupied,
Уголь Мелитополь,ugol_mlt,Occupied,
Срочно Мелитополь,srochno_melitopol,Occupied,
Новый Мелитополь,nowmelitopol,Occupied,
Детский Мелитополь,detki_mlt,Occupied,
иМперия Мелитополь,imperiamelitopol,Occupied,
Свободный Мелитополь,svoboda_mlt,Occupied,
Деанон коллаборантов Мелитополь,kollaborant_mlt,Occupied,
So Good iPhone Мелитополь,so_good_mlt,Occupied,
ХЕРСОН | НОВОСТИ 🇺🇦 МЕЛИТОПОЛЬ,zaporozhe_kropivnitskyi,Occupied,
ГОРЕЛАЯ ВАТА l МЕЛИТОПОЛЬ,vatamlt,Occupied,
Родной Мелитополь 🍒⚙️🍯,native_melitopol,Occupied,
Фаберлик Мелитополь в наличии,faberlic_melitopol,Occupied,
NoNaMe | Новости Мелитополь | Сегодня,nnmnewsua,Occupied,
ЦЕНТР ЗАНЯТОСТИ ЗАПОРОЖСКОЙ ОБЛАСТИ (Мелитополь) 💠,czmel,Occupied,
"Запорожье- Херсон - Мелитополь- Чонгар - Армянск- Крым- Россия - Грузия- Польша, ТУДА и ОБРАТНО! По России и Крыму! ""Южный Бриз""",andreymultivan,Occupied,
Администрация города Мелитополя,melitopoladmin,Occupied,
Главное в Мелитополе,melitopol_ru,Occupied,
Мелитопольский Государственный Университет,mgu_mlt,Occupied,
Трудоустройство для жителей Мелитопольского района,rabota_mel_rai,Occupied,
Полиция Мелитополя,mvd_zp,Occupied,
РУССКИЙ ЮГО-ВОСТОК | ХЕРСОН | 🍓МЕЛИТОПОЛЬ🍓 | БЕРДЯНСК | КРЫМ | МАРИУПОЛЬ | НОВОСТИ | ЧАТ,rusHerson,Occupied,
Любители животных Мелитополь,Zoo_mlt,Occupied,
🇷🇺 Твой Мелитополь ™,t_mlt,Occupied,
Про Мелитополь,promelitopol,Occupied,
Воєнні новини | Мелітополь,warinfomelitopol,Occupied,
🇺🇦 Іван Федоров / Мелітополь / міський голова,ivan_fedorov_melitopol,Occupied,
Зрадники Мелітопольщини,zradnukymelitopol,Occupied,
Викрадені мелітопольці,vykradeni_melitopol,Occupied,
Мелітополь. Актуальні новини,melitopol_live,Occupied,
АМСТОР ОПТ Мелитополь,amstoropt,Occupied,
Магазин Трикотаж Мелитополь,trikotagmelio,Occupied,
Парк Горького. Мелитополь,melito_park,Occupied,
Новогодний декор Мелитополь,new_year_mlt,Occupied,
Магазин Мелитополь❤️,shopmelitopol2022,Occupied,
Детская обувь Мелитополь Simba_shoes.ua,simba_shoes,Occupied,
Марущак Татьяна - Перманентный Макияж Мелитополь,tatyana_marushak,Occupied,
Fly kids Амстор Мелитополь,newflykids,Occupied,
"Типичный Николаев
tpnik",tpnik,Frontline,
💙 Николаевская кошка 🤍,l_o_uis,Frontline,
"Хуевый Николаев
huevyi_nikolaev",huevyi_nikolaev,Frontline,
"Віталій Кім / Миколаївська ОДА
mykolaivskaoda",mykolaivskaODA,Frontline,
"Нехуйовый Николаев
h_mykolaiv2022",h_mykolaiv2022,Frontline,
"Николаев - пуп Земли
nik_pup",nik_pup,Frontline,
"Тёмный Рыцарь Николаев
dark_nikolaev",temny_nikolaev,Frontline,
"Шиповник | НИКОЛАЕВ
shipovnikmedia",shipovnikmedia,Frontline,
"Миколаївські новини | Новости Николаева
nikolaevnovosty",nikolaevnovosty,Frontline,
"Темний Миколаїв
temny_nikolaev",suspilnemykolaiv,Frontline,
"Николаевский Ванёк
vanek_nikolaev",vanek_nikolaev,Frontline,
"Лохматый Z Николаев
l0hmatiy",L0HMATIY,Frontline,
"Новини Миколаєва від 0512.ua
mykolaiv0512",mykolaiv0512,Frontline,
"МАРТівський кіт | Новини Миколаєва | Новости Николаева
trkmart",trkmart,Frontline,
"Миколаївська міська рада
mykolaivrada",mykolaivrada,Frontline,
"Хувый Николаев | Новости Николаева | Миколаїв
nikolaevhueviy",nikolaevhueviy,Frontline,
"ПРУФ | НИКОЛАЕВ 🇺🇦 МИКОЛАЇВ
noviny_novostiniko",noviny_novostiniko,Frontline,
"Правдивый Николаев
pravdivy_nikolaev",pravdivy_nikolaev,Frontline,
"Миколаївська Обласна Варта
mykolayiv_varta",mykolayiv_varta,Frontline,
"Ганна Замазєєва // Миколаївська обласна рада
mykolaivskaoblrada",mykolaivskaoblrada,Frontline,
"Николаевская Народная Республика #Николаев #Nikolaev #ННР
nnr_bu",NNR_BU,Frontline,
"Украина Сейчас: Крым, Запорожье, Херсон, Николаев
south_now",south_now,Frontline,
"Николаев live
niklive",niklive,Frontline,
"Новости Николаева 🇺🇦
novosti_nikolaeva",novosti_nikolaeva,Frontline,
"ТРУХА ⚡️ НИКОЛАЕВ
truexaniko",truexaniko,Frontline,
"Николаевский Шерлок
nikolaevsherlock",nikolaevsherlock,Frontline,
"Николаев Online 🇺🇦
nikolaevonline",nikolaevonline,Frontline,
"Миколаївська обласна станція переливання крові
nrbts",NRBTS,Frontline,
"📷 Миколаївський об'єктив 🇺🇦
photo_sayks_myko",L_o_uis,Frontline,
"Николаев Сейчас
nikolaev_now",nikolaev_now,Frontline,
"Повістки Миколаїв / Повестки Николаев
povistky_mykolaiv",povistky_mykolaiv,Frontline,
"Оползень Життя # Николаев
opolzenzhittya",opolzenzhittya,Frontline,
"Николаев 24/7
nikolaev_24",nikolaev_24,Frontline,
"MK.NEWS : Новини Миколаєва
mknews_ua",mknews_ua,Frontline,
"Николаев ИНФО
nikolinfo",nikolinfo,Frontline,
"АЗС Николаев
azs_niko",AZSNiko,Frontline,
"Миколаїв ІНФО | Новини Миколаївщини і України
myko_info",myko_info,Frontline,
"Миколаївська обласна прокуратура
mykprok",mykprok,Frontline,
"⚔️ Миколаїв Military Support ⚔️
militarysupport",militarysupport,Frontline,
"НикВести - новости Николаев
nkves",nkves,Frontline,
"НИКОЛАЕВ СЕЙЧАС
nikolaevnow",nikolaevnow,Frontline,
"НІКЦЕНТР | Миколаїв | Одеса | Херсон 🇺🇦
nikcenter_org",nikcenter_org,Frontline,
"79 окрема десантно-штурмовая бригада Миколаїв
odshbr_79",odshbr_79,Frontline,
"Труха ⚡ Миколаїв
truhamykolaiv",truhamykolaiv,Frontline,
"Новини Миколаєва та області!
nikolaev_news_1",Nikolaev_news_1,Frontline,
"Портал Николаев 🇺🇦
portal_mykolaiv",portal_mykolaiv,Frontline,
"Миколаїв понад усе!
ponadusemkua",PonaduseMkUa,Frontline,
"🇺🇦Херсон Николаев Одесса🇺🇦 Новости Война
south_ukraine",South_Ukraine,Frontline,
"ХЕРСОН-МИКОЛАЇВ-КРОПИВНИЦЬКИЙ
zapkhersonzap",zapkhersonzap,Frontline,
"Миколаївська РВА
mykolaivskiyrayon",mykolaivskiyrayon,Frontline,
"Миколаїв і Херсон. Разом до перемоги!
mukolaiv1956223",mukolaiv1956223,Frontline,
"Николаев прифронтовой
nikolaevfront",nikolaevfront,Frontline,
"Сєвєродонецьк | Донбас
r13severnews",R13severnews,Occupied,
"Сєвєродонецьк онлайн
sduaonline",sduaonline,Occupied,
"Сєвєродонецьк - це Україна!🇺🇦🇺🇦🇺🇦
sever_ukraine_world",sever_ukraine_world,Occupied,
"Сєвєродонецька міська ВЦА
sm_vca",sm_vca,Occupied,
"Северодонецк
severodonetsk",severodonetsk,Occupied,
"Telegram Северодонецк
tel_ceb",Tel_CEB,Occupied,
"Сарафанное РАДИО Северодонецк
severodoneck_lnr",severodoneck_lnr,Occupied,
"✙Северодонецк | ЛХС 1934🇺🇦 #УкрТг
severodonetsk194",severodonetsk1934,Occupied,
"Северодонецкая епархия
sed_eparhia",sed_eparhia,Occupied,
Сєвєродонецьк - це Україна!,sever_ukraine_world,Occupied,
Сєвєродонецьк-Лисичанськ-Рубіжне-це Україна!,Ukraina2022yors,Occupied,
"Новости Северодонецка
lhs1934",lhs1934,Occupied,
"СЕВЕРОДОНЕЦК, Луганская область, Украина",severodonetsk1,Occupied,
"Листи щастя м.Суми
happiness_letters_sumy",happiness_letters_sumy,Frontline,
Волонтер | SUMY GO,sumygohelp,Frontline,
"Над Пселом - новости города Сумы
nad_pselom",Nad_Pselom,Frontline,
"Дмитро Живицький / Сумська ОВА
zhyvytskyy",Zhyvytskyy,Frontline,
"Новини Суми | sumypost
sumypost",sumypost,Frontline,
"Олександр ЛИСЕНКО / Сумський міський голова
golova_lysenko",golova_lysenko,Frontline,
"help UKRAINE SUMY
helpsumy",helpsumy,Frontline,
"Сокур Денис. ССО «Азов» Суми
denissokur_1",denissokur_1,Frontline,
"СпівДія Діти Суми
kidssumy",kidssumy,Frontline,
"СумДУ | Сумський державний університет
sumdu_ua",sumdu_ua,Frontline,
"СУМИ / SUMY GO
sumygo",sumygo,Frontline,
"СУМИ МІСТО🇺🇦
sumymisto",sumymisto,Frontline,
"Сумские новости | Новини Сум
sumynovosty",sumynovosty,Frontline,
"Сумська міська рада
sumskamiskarada",sumskamiskarada,Frontline,
"Сумський будбатальйон
sumy_budbat",sumy_budbat,Frontline,
"Суспільне Суми
suspilnesumy",suspilnesumy,Frontline,
"ТОВ ""ЕНЕРА СУМИ""
sm_enera_ua",sm_enera_ua,Frontline,
"Труха⚡Сумы
truexanewsuasymu",truexanewsuasymu,Frontline,
"Украина Новости 🇺🇦 Война 🇺🇦 Киев Харьков Сумы Херсон Одесса Днепр Запорожье Ирпень Николаев Мариуполь Чернигов Изюм ВСУ ЗСУ
derzhim_stroi",derzhim_stroi,Frontline,
"Фонд «Суми»
fondsumyua",fondsumyua,Frontline,
"Я Свідок. Суми
svidok_sumy",Svidok_Sumy,Frontline,
"CARITAS SUMY
caritas_sumy",caritas_sumy,Frontline,
"K&K Sumy (Квас и Каша)
kiksumy",KiKSumy,Frontline,
